Hours Studied,Previous Scores,Sample Question Papers Practiced,Performance Index
7,99,1,91
4,82,2,65
8,51,2,45
5,52,2,36
7,75,5,66
3,78,6,61
7,73,6,63
8,45,6,42
5,77,2,61
4,89,0,69
8,91,5,84
8,79,2,73
3,47,2,27
6,47,2,33
5,79,8,68
2,72,3,43
8,73,4,67
6,83,2,70
2,54,9,30
5,75,0,63
1,99,3,71
6,96,0,85
9,74,6,73
1,85,6,57
3,61,3,35
7,62,4,49
4,79,9,66
9,84,6,83
3,94,5,74
5,90,3,74
3,61,3,39
7,44,1,36
5,70,9,58
9,52,1,47
7,67,3,60
2,97,4,74
4,59,3,42
9,72,2,68
2,55,1,32
9,68,3,64
5,62,4,45
2,63,0,39
4,73,0,58
7,46,5,36
8,77,4,71
3,76,3,54
1,43,0,17
4,73,6,54
2,81,3,58
8,61,2,53
4,44,6,27
2,89,1,65
6,81,9,75
6,62,0,52
4,93,3,78
6,99,7,91
2,54,5,33
2,70,8,47
4,98,0,78
8,48,0,38
7,82,4,70
9,97,5,98
8,92,7,87
5,64,2,49
2,64,5,41
5,88,2,71
8,60,7,54
9,48,3,42
9,94,1,91
1,87,8,61
9,77,9,74
7,61,7,54
9,82,5,81
8,62,2,52
1,88,1,65
8,43,3,36
8,68,3,61
3,54,0,35
1,40,8,15
8,93,9,88
3,69,7,45
3,68,6,49
1,59,5,33
5,72,2,60
7,80,3,71
9,83,1,81
7,75,6,67
9,99,1,95
8,61,9,58
2,52,0,29
1,46,5,21
7,47,3,38
7,67,7,60
8,84,0,76
5,82,8,69
3,48,5,30
8,64,1,57
6,95,7,81
3,55,4,36
1,49,4,25
3,50,4,27
5,70,6,61
3,51,6,34
1,99,9,76
5,70,6,57
7,53,9,45
7,90,1,76
9,83,7,83
3,71,0,50
7,89,1,81
1,92,6,66
4,56,3,38
4,74,9,56
5,40,9,25
7,68,8,56
7,90,8,82
4,43,2,23
7,62,2,56
3,67,8,46
6,55,9,43
2,51,7,30
9,92,0,92
5,60,5,45
6,84,6,70
4,56,7,36
7,79,1,71
9,52,0,49
7,91,3,82
1,97,0,71
1,71,1,43
9,76,2,77
9,89,3,86
4,54,5,34
9,51,7,49
3,88,8,69
7,96,3,84
6,54,0,41
8,73,4,68
9,45,4,44
5,56,8,41
1,87,5,58
3,88,4,68
8,96,9,94
6,59,9,47
8,48,4,40
9,98,7,100
4,44,0,23
1,62,4,36
1,72,0,47
4,77,6,60
7,95,6,83
2,53,9,33
3,56,7,36
1,96,6,74
5,58,8,42
1,72,7,47
8,40,7,31
1,52,2,26
1,85,9,58
2,66,3,42
2,45,3,18
6,98,0,85
7,45,5,36
5,72,1,58
1,69,8,45
1,85,0,60
3,74,0,56
2,62,9,42
5,49,5,33
6,90,0,77
7,58,2,51
4,90,9,72
7,67,1,57
8,62,8,53
1,43,4,16
6,59,5,45
8,58,1,49
5,81,7,67
4,66,5,49
2,96,7,73
6,73,7,65
6,43,0,27
1,95,6,72
9,77,1,74
6,46,7,38
3,87,1,67
4,46,3,28
4,89,1,73
3,91,6,72
3,65,4,42
3,65,8,47
4,93,4,77
7,58,7,49
4,48,1,30
9,59,2,54
1,81,5,56
8,84,6,75
7,89,9,78
2,55,7,32
8,93,2,89
1,56,6,29
9,61,7,57
9,52,9,48
2,51,5,27
7,49,3,38
3,40,5,18
7,71,8,66
9,69,2,65
4,47,1,27
1,60,4,33
2,61,6,37
1,57,2,29
5,41,4,26
5,87,3,72
7,83,6,77
9,48,1,45
9,42,6,41
3,93,1,73
3,65,2,43
3,60,4,39
4,69,6,54
8,67,5,62
6,75,6,63
8,65,5,59
1,73,0,46
8,47,4,42
4,49,0,30
1,87,6,63
8,94,3,89
4,82,4,62
6,89,0,77
8,93,7,88
4,53,3,35
3,79,2,60
9,94,0,92
3,54,3,38
9,56,2,56
2,92,7,70
2,57,8,35
2,71,4,47
6,77,8,66
3,62,0,43
9,85,6,81
4,62,6,43
1,74,5,46
4,78,3,61
1,54,8,27
5,92,2,77
4,63,0,43
8,67,1,60
8,55,2,48
7,55,1,47
3,79,5,60
1,78,6,53
1,45,4,19
3,41,4,23
6,93,6,81
7,52,5,41
6,83,7,71
6,86,8,75
6,98,1,89
3,48,1,28
6,73,0,60
8,56,6,54
2,66,3,41
5,68,8,52
1,76,5,53
1,82,6,52
5,61,6,47
3,90,7,71
4,63,3,42
3,46,2,21
1,73,2,48
1,87,9,64
5,51,7,38
6,62,2,49
3,54,7,35
9,72,1,73
5,96,4,81
8,52,4,47
1,62,6,36
5,77,4,63
3,71,8,52
1,84,2,58
4,89,8,77
5,74,0,58
7,40,2,33
1,86,3,67
3,97,5,76
2,84,9,62
9,44,7,37
6,96,6,86
3,52,7,37
8,93,5,88
8,44,5,38
2,99,5,76
6,71,2,57
7,90,9,82
2,60,3,35
2,63,5,41
1,99,6,75
8,57,2,51
1,60,3,34
9,93,5,92
6,49,0,39
7,63,6,56
7,79,0,69
3,86,9,69
2,60,8,40
9,64,9,63
8,91,8,86
7,99,8,89
9,96,3,94
4,98,1,79
4,62,6,44
1,61,3,33
8,43,4,36
3,73,0,50
7,95,9,94
2,45,5,22
2,67,6,44
7,70,2,60
6,74,9,64
3,78,1,58
9,81,9,78
6,62,6,51
6,45,0,30
1,55,1,29
4,41,2,22
6,63,3,51
6,56,4,45
5,84,3,70
1,40,9,10
8,45,2,38
5,44,0,30
5,96,6,82
7,84,9,74
4,99,5,87
6,94,1,77
4,89,1,72
3,68,2,51
7,51,7,40
8,78,7,72
4,86,9,68
2,42,9,22
3,87,9,67
1,40,9,18
8,66,7,64
3,87,6,66
7,63,1,50
5,83,0,68
5,58,5,44
7,98,7,90
9,47,0,41
5,94,2,83
1,83,0,57
1,86,9,64
2,41,8,18
6,69,6,62
9,69,7,66
8,88,8,85
5,78,2,62
1,84,9,62
7,71,1,62
5,40,5,26
6,77,4,66
7,52,3,43
3,50,5,30
3,49,5,25
5,87,2,77
6,98,1,88
9,65,8,62
5,95,7,82
1,94,3,73
4,59,5,44
5,56,2,40
5,56,7,39
7,43,2,34
4,44,1,27
1,99,6,73
5,62,2,46
7,85,8,78
6,91,2,80
5,49,7,33
4,85,1,68
2,67,8,45
4,72,0,56
3,82,2,58
1,65,1,37
8,94,6,88
5,89,4,75
4,87,7,70
8,68,1,62
7,66,7,57
2,57,6,32
1,79,4,53
4,99,1,82
8,49,9,41
2,97,6,75
3,81,9,63
1,44,3,17
1,49,3,24
3,89,7,69
5,60,5,47
3,63,8,43
1,77,1,48
1,42,4,17
8,79,5,75
2,70,7,54
3,80,3,59
2,76,6,56
3,41,6,20
7,41,3,34
1,78,0,54
8,88,2,83
2,81,1,59
3,83,2,63
9,73,4,72
7,81,0,70
4,59,4,41
5,72,1,54
2,43,3,21
8,84,5,83
4,83,8,64
9,50,9,51
5,81,5,66
9,86,9,83
4,44,1,26
5,64,7,49
9,88,4,85
8,99,8,95
3,76,9,56
1,73,8,50
3,48,3,23
4,45,0,26
2,57,8,30
1,53,8,28
7,58,7,48
8,53,4,46
7,79,4,73
5,56,9,45
1,99,5,76
7,74,0,71
7,68,8,60
9,81,4,77
3,56,6,36
9,98,7,96
1,82,4,62
1,47,2,22
4,40,5,21
9,84,6,79
6,92,3,82
3,75,8,55
1,46,3,22
4,85,9,70
9,44,1,37
3,63,8,42
9,67,3,64
7,82,3,72
4,56,9,42
3,76,0,56
5,59,1,43
5,42,2,24
3,76,6,55
9,65,8,64
4,54,4,34
5,90,3,78
4,87,1,71
5,47,6,33
7,52,5,46
9,87,6,86
7,42,7,34
5,40,8,26
7,48,9,44
5,70,4,53
3,80,4,61
7,93,3,84
2,65,2,40
9,56,6,53
1,95,4,67
6,73,6,58
7,48,1,41
8,95,8,89
9,90,8,85
2,52,8,33
2,44,4,20
5,80,9,66
5,52,8,38
6,40,0,25
3,64,1,43
8,86,9,79
1,43,4,16
6,75,4,67
4,91,5,80
1,49,7,26
7,67,0,57
9,96,9,91
4,45,8,29
4,66,3,48
6,95,7,84
3,51,4,33
6,91,0,82
7,87,8,81
3,42,7,24
7,85,4,81
3,72,3,54
2,49,7,25
4,70,8,53
8,54,6,48
9,46,3,40
7,75,6,66
1,53,5,29
3,95,2,73
9,87,9,89
1,53,2,27
9,42,0,40
8,88,4,83
1,92,7,69
6,85,5,72
5,89,7,77
6,42,6,32
5,61,1,49
6,58,7,44
5,74,3,57
5,51,4,34
4,93,7,76
3,44,4,22
3,49,4,30
4,80,5,67
