x,y
0.0,1.0
0.2,1.4
0.4,1.9
0.6,2.5
0.8,3.2
1.0,4.0
1.2,4.9
1.4,5.9
1.6,7.0
1.8,8.2
2.0,9.5
2.2,10.9
2.4,12.4
2.6,14.0
2.8,15.7
3.0,17.5
3.2,19.4
3.4,21.4
3.6,23.5
3.8,25.7
4.0,28.0
4.2,30.4
4.4,32.9
4.6,35.5
4.8,38.2
5.0,41.0
5.2,43.9
5.4,46.9
5.6,50.0
5.8,53.2
6.0,56.5
6.2,59.9
6.4,63.4
6.6,67.0
6.8,70.7
7.0,74.5
7.2,78.4
7.4,82.4
7.6,86.5
7.8,90.7
8.0,95.0
8.2,99.4
8.4,103.9
8.6,108.5
8.8,113.2
9.0,118.0
9.2,122.9
9.4,127.9
9.6,133.0
9.8,138.2
10.0,143.5
